id,home_type,offer,asking_price,building_age_max,bedrooms,bed_type_num,bathrooms,furnished,parking_spots,parking_type,locker_type,sqft_min,sqft_max,sqft,maintenance_fee,photo_count,pool,pets_permitted,has_locker,has_balcony,distance_to_dt
688235,Condo,Sale,949000,1,0.002224694104560623,2.1,0.002224694104560623,No,0,Underground,Owned,800,899,0,569.31,NA,None,Restrictions,TRUE,1,0.6635033795244949
688233,Condo,Sale,749000,2,0.001430615164520744,1.1,0.001430615164520744,No,0,Underground,None,600,699,643,439.84,NA,None,Restrictions,FALSE,1,1.455888305303517
688204,Condo,Sale,499000,3,0.001669449081803005,1,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,524,483.43,39,None,Restrictions,TRUE,1,15.070059841816468
688218,Condo,Sale,688900,7,0.0012515644555694619,1.1,0.0025031289111389237,No,0.0025031289111389237,Underground,Owned,700,799,NA,624.97,24,None,Restrictions,TRUE,1,15.165702458703677
688146,Condo,Sale,618000,16,0.0012515644555694619,1.1,0.0012515644555694619,No,0.0012515644555694619,Underground,None,700,799,725,626.67,39,None,Restrictions,FALSE,1,0.5731815011429656
688200,Condo,Sale,699000,13,0.002861230329041488,2,0.002861230329041488,No,0.001430615164520744,Owned,Owned,600,699,694,649.63,34,None,Restrictions,TRUE,1,14.701387401317245
688162,Condo,Sale,449900,46,0.001001001001001001,1,0.001001001001001001,No,0.001001001001001001,Underground,None,900,999,NA,496.46,20,None,Restrictions,FALSE,1,18.927827121218865
688160,Condo,Sale,479000,49,0.002002002002002002,2,0.001001001001001001,No,0.001001001001001001,Underground,Owned,900,999,NA,707.75,14,None,Restrictions,TRUE,1,10.146450084997808
688157,Condo,Sale,749880,44,0.0011117287381878821,2,0.0011117287381878821,No,0.0011117287381878821,Underground,Ensuite,1600,1799,NA,1251.05,21,None,No,TRUE,1,16.834662118371412
688107,Condo,Sale,1499000,3,0.001876172607879925,3,0.0012507817385866166,No,6.253908692933083e-4,Underground,Owned,1400,1599,1376,1448.13,35,None,Restrictions,TRUE,1,7.7717736472575965
688123,Condo,Sale,549900,4,0.001430615164520744,1.1,0.002861230329041488,No,0.001430615164520744,Underground,Owned,600,699,663,546.88,22,None,Restrictions,TRUE,1,10.971431502018332
687889,Condo,Sale,559800,16,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,None,600,699,683,454.36,24,None,Restrictions,FALSE,1,17.13580019284624
688093,Condo,Sale,1098000,5,0.0012515644555694619,1.1,0.0025031289111389237,No,0.0012515644555694619,Underground,Owned,700,799,719,697,14,None,Restrictions,TRUE,1,3.0186246177357705
687913,Condo,Sale,998800,38,0.0012507817385866166,2,0.0012507817385866166,No,6.253908692933083e-4,Underground,Exclusive,1400,1599,1413,1122.18,33,None,Restrictions,TRUE,0,2.342337585541679
687956,Condo,Sale,748000,3,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Owned,800,899,802,637.93,22,None,Restrictions,TRUE,1,10.86724700205849
688092,Condo,Sale,999000,10,0.002002002002002002,2.1,0.002002002002002002,No,0.001001001001001001,Underground,None,900,999,985,905.42,19,None,Restrictions,FALSE,1,1.80871326307058
688090,Condo,Sale,1188000,13,0.0016680567139282735,2,0.0025020850708924102,No,8.340283569641367e-4,Underground,Owned,1000,1199,1100,865.61,14,None,Restrictions,TRUE,1,3.137962016188159
687986,Condo,Sale,950000,11,0.0016680567139282735,2.1,0.0016680567139282735,No,8.340283569641367e-4,Underground,Owned,1000,1199,1087,947.88,30,None,Restrictions,TRUE,1,5.674518193819449
687985,Condo,Sale,434900,49,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,Exclusive,600,699,627,567,26,None,Restrictions,TRUE,0,9.528235328780113
687928,Condo,Sale,528880,9,0.001669449081803005,1,0.001669449081803005,No,0,Underground,Owned,500,599,548,428.06,40,None,Restrictions,TRUE,1,3.2834157715696746
688045,Condo,Sale,499000,14,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Exclusive,800,899,827,597.6,11,None,Restrictions,TRUE,1,14.077192585993417
688068,Condo,Sale,499900,49,0.0025020850708924102,3,0.0016680567139282735,No,8.340283569641367e-4,Underground,Exclusive,1000,1199,1150,864.41,37,None,Restrictions,TRUE,1,10.276732407167268
688067,Condo,Sale,799995,7,0.002861230329041488,2,0.001430615164520744,No,0,NA,None,600,699,610,414.8,34,None,Restrictions,FALSE,1,0.8266831554418783
687999,Condo,Sale,579000,23,0.001430615164520744,1.1,0.001430615164520744,No,0,NA,None,600,699,NA,699,12,None,Restrictions,FALSE,0,1.3180068005305898
688058,Condo,Sale,489000,3,0.002004008016032064,1,0.002004008016032064,No,0,Underground,None,0,499,NA,275.52,26,None,Restrictions,FALSE,1,15.848966371336823
688056,Condo,Sale,699000,8,0.0025031289111389237,2,0.0025031289111389237,No,0.0012515644555694619,Underground,None,700,799,NA,637.84,27,None,Restrictions,FALSE,1,15.795002636392454
688042,Condo,Sale,529000,13,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,Owned,600,699,660,568.91,25,None,Restrictions,TRUE,1,20.873400747535555
688019,Condo,Sale,1045000,1,0.002002002002002002,2,0.002002002002002002,No,0.001001001001001001,Underground,Owned,900,999,0,538.88,10,None,Restrictions,TRUE,1,0.6635033795244949
688015,Condo,Sale,499000,7,0.001669449081803005,1,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,539,455.16,35,None,Restrictions,TRUE,1,13.801292185868625
688002,Condo,Sale,899000,31,0.0012507817385866166,2.1,0.0012507817385866166,No,0.0012507817385866166,Underground,Owned,1400,1599,1552,1243.91,40,None,Restrictions,TRUE,0,13.625183203450646
688003,Condo,Sale,689000,11,0.0012515644555694619,1.1,0.0012515644555694619,No,0,Underground,Owned,700,799,NA,521.67,40,None,Restrictions,TRUE,1,3.1101789606246992
688001,Condo,Sale,559000,1,0.00333889816360601,2,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,NA,506.61,25,None,No,TRUE,1,12.009147649376995
688000,Condo,Sale,949000,9,0.0011123470522803114,1.1,0.002224694104560623,No,0,Underground,Owned,800,899,NA,496.42,22,None,Restrictions,TRUE,1,1.7216329289882786
687998,Condo,Sale,699000,36,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Exclusive,800,899,NA,685.98,35,None,Restrictions,TRUE,1,2.7027663963174735
687987,Condo,Sale,1429800,45,0.0012507817385866166,2,0.0012507817385866166,No,6.253908692933083e-4,Underground,Exclusive,1400,1599,1434,1268.57,26,None,No,TRUE,1,1.125846766307371
687981,Condo,Sale,1399000,37,0.0010005002501250625,2.1,0.0010005002501250625,No,5.002501250625312e-4,Underground,Ensuite,1800,1999,1872,1372.25,30,None,No,TRUE,1,13.626772768152751
687964,Condo,Sale,689000,12,0.001669449081803005,1.1,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,565,410.18,29,None,Restrictions,TRUE,1,1.1150783047694266
687828,Condo,Sale,619000,12,0.001430615164520744,1,0.001430615164520744,No,0.001430615164520744,Underground,Owned,600,699,595,466.54,15,None,Restrictions,TRUE,1,13.8659250398031
687949,Condo,Sale,888000,17,0.0016680567139282735,2,0.0016680567139282735,No,0.0025020850708924102,Underground,Owned,1000,1199,NA,850.29,28,None,Restrictions,TRUE,1,12.680887574244595
687947,Condo,Sale,549900,29,0.001430615164520744,1,0.001430615164520744,No,0,Underground,Ensuite,600,699,NA,745.47,15,None,Restrictions,TRUE,0,3.4286208384702155
687946,Condo,Sale,1195000,17,0.0016680567139282735,2,0.0016680567139282735,No,8.340283569641367e-4,Underground,Owned,1000,1199,NA,1126.95,27,None,Restrictions,TRUE,1,5.212732891340379
687924,Condo,Sale,599000,3,0.001430615164520744,1.1,0.001430615164520744,No,0,NA,None,600,699,613,412.4,15,None,Restrictions,FALSE,1,7.332848427491101
687915,Condo,Sale,699000,18,0.002002002002002002,2,0.002002002002002002,No,0.001001001001001001,Underground,None,900,999,903,739.26,40,None,Restrictions,FALSE,1,14.874265121069575
687917,Condo,Sale,468000,50,0.002144388849177984,3.1,0.0014295925661186562,No,7.147962830593281e-4,Underground,Owned,1200,1399,1350,725,15,None,Restrictions,TRUE,1,22.306046217422363
687905,Condo,Sale,998850,5,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Owned,800,899,NA,649.88,35,None,Restrictions,TRUE,1,10.328633037463126
687883,Condo,Sale,599000,34,0.0012515644555694619,1,0.0012515644555694619,No,0.0012515644555694619,Underground,None,700,799,762,653.24,21,None,No,FALSE,0,1.6156920971090478
687826,Condo,Sale,599800,17,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,Owned,600,699,670,487.86,16,None,Restrictions,TRUE,1,13.826531327514388
687825,Condo,Sale,699800,17,0.002002002002002002,2,0.002002002002002002,No,0.001001001001001001,Underground,Owned,900,999,970,740.33,19,None,Restrictions,TRUE,1,13.842573403742847
687799,Condo,Sale,599000,7,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,Owned,600,699,NA,574.24,11,None,Restrictions,TRUE,1,12.791343499649376
687594,Condo,Sale,488800,49,0.002002002002002002,2,0.001001001001001001,No,0.001001001001001001,Underground,None,900,999,762,638.49,18,None,Restrictions,FALSE,1,15.315537127960747
687231,Condo,Sale,1250000,16,0.0014295925661186562,2.1,0.0014295925661186562,No,7.147962830593281e-4,Underground,Owned,1200,1399,1220,847.96,22,None,Restrictions,TRUE,1,0.6352439769226392
687781,Condo,Sale,859900,13,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Owned,800,899,823,576,21,None,Restrictions,TRUE,1,2.9524699586798033
687169,Condo,Sale,683000,13,0.001430615164520744,1.1,0.001430615164520744,No,0.001430615164520744,Underground,None,600,699,688,518.76,25,None,Restrictions,FALSE,1,0.7411898565080132
687736,Condo,Sale,460000,49,0.002002002002002002,2,0.001001001001001001,No,0.001001001001001001,Underground,None,900,999,NA,741.45,16,None,Restrictions,FALSE,1,11.816707028182433
687376,Condo,Sale,629000,51,0.002144388849177984,3.1,0.0014295925661186562,No,7.147962830593281e-4,Underground,None,1200,1399,0,740.41,20,None,Restrictions,FALSE,1,14.620666556892429
687643,Condo,Sale,469999,22,0.002002002002002002,2,0.002002002002002002,No,0.001001001001001001,Underground,Owned,900,999,953,1179.43,18,None,No,TRUE,0,20.757882017671477
687758,Condo,Sale,669000,3,0.001430615164520744,1,0.001430615164520744,No,0.001430615164520744,Underground,Owned,600,699,622,530.1,30,None,Restrictions,TRUE,1,10.344779556784884
687474,Condo,Sale,529900,49,0.002144388849177984,3,0.0014295925661186562,No,0,NA,Ensuite,1200,1399,0,855.29,28,None,Restrictions,TRUE,1,11.816707028182433
687508,Condo,Sale,599000,5,0.001669449081803005,1,0.001669449081803005,No,0,Underground,Owned,500,599,500,393.17,15,None,Restrictions,TRUE,0,1.59365888210678
687724,Condo,Sale,784900,30,8.340283569641367e-4,1.1,8.340283569641367e-4,No,8.340283569641367e-4,Underground,Owned,1000,1199,1131,1123,24,None,No,TRUE,0,0.5035946232039381
