id,home_type,offer,asking_price,building_age_max,bedrooms,bed_type_num,bathrooms,furnished,parking_spots,parking_type,locker_type,sqft_min,sqft_max,sqft,maintenance_fee,photo_count,pool,pets_permitted,has_locker,has_balcony,distance_to_dt
671133,Condo,Sale,619900,1,0.001669449081803005,1,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,NA,307.8,7,None,Restrictions,TRUE,1,12.666904559615256
602749,Condo,Sale,515000,16,0.001669449081803005,1.1,0.001669449081803005,No,0,NA,None,500,599,530,720,17,None,No,FALSE,0,1.2146382283139179
679861,Condo,Sale,1195000,21,0.0016680567139282735,2,0.0016680567139282735,No,8.340283569641367e-4,Underground,Owned,1000,1199,1090,1168.64,36,None,Restrictions,TRUE,1,2.048764812679714
687119,Condo,Sale,869000,0,0.001430615164520744,1.1,0.001430615164520744,No,0,NA,Owned,600,699,0,420.19,25,None,Restrictions,TRUE,1,1.4527162197735726
673575,Condo,Sale,476000,1,0.001669449081803005,1.1,0.001669449081803005,No,0.001669449081803005,Underground,Owned,500,599,596,426.38,17,None,Restrictions,TRUE,1,16.019394974386387
643533,Condo,Sale,649000,22,0.002002002002002002,2.1,0.002002002002002002,No,0.001001001001001001,Underground,Exclusive,900,999,990,924.81,23,None,No,TRUE,1,15.50437581486436
684464,Condo,Sale,794000,NA,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,None,800,899,NA,0,6,None,Restrictions,FALSE,1,14.980167831433274
686653,Condo,Sale,622000,21,0.002002002002002002,2.1,0.002002002002002002,No,0,NA,Owned,900,999,1025,597.44,10,None,Restrictions,TRUE,0,15.25620415664389
686066,Condo,Sale,344000,49,0.0012515644555694619,1,0.0012515644555694619,No,0.0012515644555694619,Underground,None,700,799,0,556.51,10,None,Restrictions,FALSE,1,11.816707028182433
663193,Condo,Sale,535000,44,0.0016680567139282735,2.1,0.0016680567139282735,No,8.340283569641367e-4,Underground,None,1000,1199,1088,854.39,24,None,Restrictions,FALSE,1,18.622751521434243
656485,Condo,Sale,799000,10,0.002224694104560623,2,0.002224694104560623,No,0.0011123470522803114,Underground,Owned,800,899,829,727.5,40,None,Restrictions,TRUE,1,3.2834432118341454
681549,Condo,Sale,569000,40,0.0016680567139282735,2.1,0.0016680567139282735,No,8.340283569641367e-4,Underground,Ensuite,1000,1199,1236,934.95,26,None,Restrictions,TRUE,0,16.573563624425176
658641,Condo,Sale,1165000,4,0.002002002002002002,2,0.002002002002002002,No,0.001001001001001001,Underground,Owned,900,999,960,858.36,29,None,Restrictions,TRUE,0,5.039116183756449
589783,Condo,Sale,728000,7,0.001430615164520744,1.1,0.001430615164520744,No,0,Underground,None,600,699,679,520.59,16,None,Restrictions,FALSE,1,1.265696707163634
528734,Condo,Sale,839000,NA,0.001430615164520744,1.1,0.002861230329041488,No,0.001430615164520744,Underground,Owned,600,699,NA,0,9,None,Restrictions,TRUE,1,14.948706001853518
645013,Condo,Sale,1268000,10,0.002144388849177984,3,0.0014295925661186562,No,7.147962830593281e-4,Underground,Owned,1200,1399,1283,833.65,20,None,Restrictions,TRUE,1,13.78759765751688
685609,Condo,Sale,850888,1,0.0033370411568409346,3,0.002224694104560623,No,0.0011123470522803114,Underground,Owned,800,899,NA,0,31,None,Restrictions,TRUE,1,14.789843082477947
