id,mls_number,coordinates_source,coordinates_geohash,latitude,longitude,title,home_type,sub_type,offer,status,banner_id,property_class,property_type,unit_name,unit_number,corporation_number,corporation_jurisdiction,asking_price,advertise_permission,featured,exclusive,promoted,building_id,building_age_max,building_age,address_id,street_id,neighbourhood_id,neighbourhood_name,sublocality_id,sublocality_name,locality_id,locality_name,locality_parent_id,locality_parent_name,locality_grandparent_id,locality_grandparent_name,province_id,province_name,country_id,country_name,url,tax,tax_year,bedrooms,bedrooms_plus,bed_type,bed_type_num,bathrooms,furnished,parking_spots,parking_type,locker_type,sqft_min,sqft_max,sqft,sqft_source,lot_size,lot_front,lot_depth,pin_to_front,ranking,maintenance_fee,photo_count,photo_version,photo_base_url,pool,furnished_id,property_class_name,entry_date,entry_date_unix,street_name,brokerage,brokerage_id,brokerage_name,date_available,date_available_period,exposure,outdoor_space,pets_permitted,created_at,source_timestamp,slogan,has_locker,has_balcony,amenities,tags,title_to_land,filter_type,filter_value,type,subtitle,open_houses,_geoloc,objectID,_highlightResult
688214,E5447488,Address,dpz86ke50q6umvfm2wnj,43.6629638,-79.3501135,902 Dundas St E,Townhouse,Townhouse,Sale,Active,,Freehold,,,,,,1249000,1,0,0,0,,100,100+,322342,9683,867,South Riverdale | Leslieville,20,East End,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/902-dundas-street-east-toronto,3635.53,2021,3,,3,3,3,No,0,,,1500,2000,,,1325,13,106,,,,38,4,https://shared-s3.property.ca/public/images/listings/optimized/e5447488/mls/,None,,,2021-12-02,1638478876,Dundas Street East,"RE/MAX HALLMARK REALTY LTD., BROKERAGE",,,45-60; Flex,2022-Jan,,,,2021-12-02 20:29:17,2021-12-02 20:52:51,,,0,[],[],,mls_number,E5447488,SearchListing,E5447488 | For Sale,[],"{'lat': 43.6629638, 'lng': -79.3501135}",E5447488,"{'mls_number': {'value': 'E5447488', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '902 Dundas St E', 'matchLevel': 'none', 'matchedWords': []}}"
688243,C5447530,Address,dpz8315wz2qvhxee3thf,43.6443494,-79.4040528,9 Joseph Salsberg Lane,Townhouse,Townhouse,Sale,Active,,Freehold,,,,,,1399000,1,0,0,0,,30,16-30,474684,15047,753,King West,14,Downtown,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/9-joseph-salsberg-lane-toronto,5572.43,2021,3,,3,3,2,No,2,Garage,,1500,2000,,,837,14,62,,,,27,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447530/mls/,None,,,2021-12-02,1638478876,Joseph Salsberg Lane,"SAGE REAL ESTATE LIMITED, BROKERAGE",,,2022-02-23 00:,2022-Feb,,,,2021-12-02 21:09:19,2021-12-02 20:53:20,,,0,[],[],,mls_number,C5447530,SearchListing,C5447530 | For Sale,[],"{'lat': 43.6443494, 'lng': -79.4040528}",C5447530,"{'mls_number': {'value': 'C5447530', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '9 Joseph Salsberg Lane', 'matchLevel': 'none', 'matchedWords': []}}"
688235,C5447556,Address,dpz833s2p11ffbzw7qpk,43.6459409,-79.3920540,3502 - 125  Blue Jays  Way,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,3502,02,2824,TSCC,949000,1,0,0,0,227,1,1,264835,10469,753,King West,14,Downtown,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/king-blue-115-125-blue-jays-way-355-king-st-w/unit-3502-C5447556,0,2021,2,1,2+1,2.1,2,No,0,Underground,Owned,800,899,0,Calculated,,,,,,569.31,,1,https://shared-s3.property.ca/public/images/listings/optimized/c5447556/mls/,None,,,2021-12-02,1638478872,Blue Jays Way,"RE/MAX REALTRON REALTY INC., BROKERAGE",,,60/90,2022-Jan,SW,Open Balcony,Restrictions,2021-12-02 21:09:18,2021-12-02 20:55:29,,1,1,"['Concierge', 'Gym', 'Party Room', 'Security Guard', 'Security System', 'Rooftop Deck', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Visitor Lounge', 'Yoga Studio', 'Indoor Pool', 'Games Room', 'Sauna']",['High-Rise'],,mls_number,C5447556,SearchListing,C5447556 | For Sale,[],"{'lat': 43.6459409, 'lng': -79.392054}",C5447556,"{'mls_number': {'value': 'C5447556', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '3502 - 125  Blue Jays  Way', 'matchLevel': 'none', 'matchedWords': []}}"
688233,C5447550,Address,dpz83dvent3msvd3twff,43.6533456,-79.3793731,1105 - 197 Yonge  St,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,1105,05,2739,TSCC,749000,1,0,0,0,1458,2,2,312787,10532,749,Church St. Corridor,14,Downtown,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/the-massey-tower-197-yonge-st/unit-1105-C5447550,0,2021,1,1,1+1,1.1,1,No,0,Underground,None,600,699,643,Calculated,,,,,,439.84,,1,https://shared-s3.property.ca/public/images/listings/optimized/c5447550/mls/,None,,,2021-12-02,1638478872,Yonge Street,"RE/MAX REALTRON REALTY INC., BROKERAGE",,,30/60,2022-Jan,SW,Open Balcony,Restrictions,2021-12-02 21:09:17,2021-12-02 20:53:17,,0,1,"['Concierge', 'Gym', 'Party Room', 'Sauna', 'Security Guard', 'Visitor Parking', 'Indoor Pool', 'BBQ Permitted', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rooftop Deck']",['High-Rise'],,mls_number,C5447550,SearchListing,C5447550 | For Sale,[],"{'lat': 43.6533456, 'lng': -79.3793731}",C5447550,"{'mls_number': {'value': 'C5447550', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '1105 - 197 Yonge  St', 'matchLevel': 'none', 'matchedWords': []}}"
688204,C5447472,Address,dpz942wjkvpp5pxvqyx9,43.7732071,-79.3457949,615 - 52 Forest Manor Rd,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,615,15,2654,TSCC,499000,0,0,0,0,8601,3,3,187179,9141,829,Henry Farm,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/colours-of-emerald-city-phase-iv-52-forest-manor-rd/unit-615-C5447472,1781,2020,1,,1,1,1,No,1,Underground,Owned,500,599,524,Calculated,,,,,,483.43,39,3,https://shared-s3.property.ca/public/images/listings/optimized/c5447472/mls/,None,,,2021-12-02,1638478872,Forest Manor Road,"ROYAL LEPAGE REAL ESTATE SERVICES LTD., BROKERAGE",,,Immediate,2021-Dec,SE,Open Balcony,Restrictions,2021-12-02 20:29:15,2021-12-02 20:58:54,,1,1,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Sauna', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'FibreStream Internet', 'Bike Storage', 'Security Guard']",['High-Rise'],,mls_number,C5447472,SearchListing,C5447472 | For Sale,[],"{'lat': 43.7732071, 'lng': -79.3457949}",C5447472,"{'mls_number': {'value': 'C5447472', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '615 - 52 Forest Manor Rd', 'matchLevel': 'none', 'matchedWords': []}}"
688052,W5447228,Address,dpz2q2nkv85uwu07yez6,43.6385115,-79.5212049,4 - 1128C Islington Ave,Townhouse,Townhouse,Sale,Active,,Freehold,,4,,,,1599000,1,0,0,0,,1,New,490634,2155,798,Islington | City Centre West,16,Etobicoke,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/1128-islington-avenue-etobicoke,0,2021,3,,3,3,3,No,2,Garage,,2000,2500,,,,0,0,,,,29,2,https://shared-s3.property.ca/public/images/listings/optimized/w5447228/mls/,None,,,2021-12-02,1638477693,Islington Avenue,"RE/MAX HALLMARK BATORI GROUP INC., BROKERAGE",,,60-90Days Tba,2022-Jan,,,,2021-12-02 17:29:18,2021-12-02 20:28:09,,,0,[],[],,mls_number,W5447228,SearchListing,W5447228 | For Sale,[],"{'lat': 43.6385115, 'lng': -79.5212049}",W5447228,"{'mls_number': {'value': 'W5447228', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '4 - 1128C Islington Ave', 'matchLevel': 'none', 'matchedWords': []}}"
688051,W5447225,Address,dpz2q2neb03ug5v1cecd,43.6383412,-79.5211004,10 - 1124C Islington Ave,Townhouse,Townhouse,Sale,Active,,Freehold,,10,,,,1549000,1,0,0,0,9293,1,New,490592,2155,798,Islington | City Centre West,16,Etobicoke,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/fairfield-towns-1124-islington-ave/unit-10-W5447225,0,2021,3,,3,3,3,No,2,Garage,,2000,2500,,,,0,0,,,,25,2,https://shared-s3.property.ca/public/images/listings/optimized/w5447225/mls/,None,,,2021-12-02,1638477693,Islington Avenue,"RE/MAX HALLMARK BATORI GROUP INC., BROKERAGE",,,Immediate,2021-Dec,,,,2021-12-02 17:29:18,2021-12-02 20:27:50,,,0,"['Outdoor Patio', 'Parking Garage', 'Visitor Parking']",['Townhouse'],,mls_number,W5447225,SearchListing,W5447225 | For Sale,[],"{'lat': 43.6383412, 'lng': -79.5211004}",W5447225,"{'mls_number': {'value': 'W5447225', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '10 - 1124C Islington Ave', 'matchLevel': 'none', 'matchedWords': []}}"
687937,C5446978,Address,dpz82g443w0d1g2sgjhw,43.6545936,-79.4173543,181 Montrose Ave,Townhouse,Townhouse,Sale,Active,,Freehold,,,,,,1199900,0,0,0,0,,,,240672,10165,863,Little Italy,19,West End,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/181-montrose-avenue-toronto,5500,2020,3,,3,3,2,No,1,Detached Garage,,0,,,,1812,18,103,,,,30,2,https://shared-s3.property.ca/public/images/listings/optimized/c5446978/mls/,None,,,2021-12-02,1638477693,Montrose Avenue,"ROYAL LEPAGE SIGNATURE - SAMAD HOMES REALTY, BROKERAGE",,,60-90 Days,2022-Jan,,,,2021-12-02 15:29:19,2021-12-02 20:26:39,,,0,[],[],,mls_number,C5446978,SearchListing,C5446978 | For Sale,[],"{'lat': 43.6545936, 'lng': -79.4173543}",C5446978,"{'mls_number': {'value': 'C5446978', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '181 Montrose Ave', 'matchLevel': 'none', 'matchedWords': []}}"
688218,C5447495,Address,dpz942vg7y1bqwr3gy28,43.7742413,-79.3461881,2307 - 66 Forest Manor Rd,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,2307,7,2407,TSCC,688900,1,0,0,0,1934,7,7,187339,9141,829,Henry Farm,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/emerald-city-2-66-forest-manor-rd/unit-2307-C5447495,2401.28,2021,1,1,1+1,1.1,2,No,2,Underground,Owned,700,799,,,,,,,,624.97,24,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447495/mls/,None,,,2021-12-02,1638477689,Forest Manor Road,"RE/MAX CROSSROADS REALTY INC., BROKERAGE",,,30 Days/Tba,2022-Jan,NE,Open Balcony,Restrictions,2021-12-02 20:49:14,2021-12-02 20:20:18,,1,1,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Visitor Parking', 'Rooftop Deck', 'Public Transit', 'Party Room', 'BBQ Permitted', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Yoga Studio', 'FibreStream Internet', 'Enter Phone System']",[],,mls_number,C5447495,SearchListing,C5447495 | For Sale,[],"{'lat': 43.7742413, 'lng': -79.3461881}",C5447495,"{'mls_number': {'value': 'C5447495', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '2307 - 66 Forest Manor Rd', 'matchLevel': 'none', 'matchedWords': []}}"
688146,C5447380,Address,dpz832kxmcz98fhfjcd6,43.6403228,-79.3917567,711 - 10 Navy Wharf Crt,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,711,10,1694,TSCC,618000,1,0,0,0,522,16,16,264308,10468,752,CityPlace,14,Downtown,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/harbour-view-estates-1-9-spadina-ave-10-navy-wharf-crt/unit-711-C5447380,2153.24,2020,1,1,1+1,1.1,1,No,1,Underground,None,700,799,725,Calculated,,,,,,626.67,39,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447380/mls/,None,,,2021-12-02,1638477689,Navy Wharf Court,"P2 REALTY INC., BROKERAGE",,,Tbd,2021-Dec,S,Open Balcony,Restrictions,2021-12-02 19:29:15,2021-12-02 20:23:27,,0,1,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Elevator', 'FibreStream Internet', 'Jacuzzi', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Tennis Court', 'Meeting Room', 'Bowling Valley']",['High-Rise'],,mls_number,C5447380,SearchListing,C5447380 | For Sale,[],"{'lat': 43.6403228, 'lng': -79.3917567}",C5447380,"{'mls_number': {'value': 'C5447380', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '711 - 10 Navy Wharf Crt', 'matchLevel': 'none', 'matchedWords': []}}"
